snr_db,pe,ber,se,sinr_db,crlb_R,crlb_v,type
-15.0,0.11895598811160234,0.3511427017075385,0.02375189661315099,-14.968081975843784,5.96453046575288,104.01315683860352,sweep
-15.0,0.13188532264906988,0.3504546499189073,0.025121951660056076,-14.720582158434699,5.96453046575288,104.01315683860352,sweep
-15.0,0.057204627374720186,0.34995814134306513,0.026133427462784686,-14.546235986292837,5.96453046575288,104.01315683860352,sweep
-15.0,0.05229497094787623,0.348385219146664,0.029463237976284053,-14.015790171293919,5.96453046575288,104.01315683860352,sweep
-15.0,0.0392871141105918,0.3490575225375972,0.028016735840650668,-14.238592832464736,5.96453046575288,104.01315683860352,sweep
-15.0,0.0476468589973813,0.34899487681021524,0.02815005803217109,-14.217590650522729,5.96453046575288,104.01315683860352,sweep
-15.0,0.08207776163198022,0.3527957327496114,0.020611513249995796,-15.593013413484453,5.96453046575288,104.01315683860352,sweep
-15.0,0.0324210612733247,0.3491659552596584,0.027786682524363525,-14.275064796257242,5.96453046575288,104.01315683860352,sweep
-15.0,0.027309611529240652,0.3550440650324932,0.016686200023535082,-16.52183760509215,5.96453046575288,104.01315683860352,sweep
-15.0,0.014779847226516677,0.34816380234383226,0.02994719920260331,-13.943636229914247,5.96453046575288,104.01315683860352,sweep
-15.0,0.07955491241443549,0.3487207067424817,0.028737087425157334,-14.126262584713542,5.96453046575288,104.01315683860352,sweep
-15.0,0.05159809251610718,0.3523598331081148,0.02141881396643088,-15.423832808742471,5.96453046575288,104.01315683860352,sweep
-15.0,0.01762581159557443,0.35434313664829054,0.017866867028090896,-16.221530221805462,5.96453046575288,104.01315683860352,sweep
-15.0,0.030236115162362385,0.3465734056921815,0.03353292908311695,-13.442131525658416,5.96453046575288,104.01315683860352,sweep
-15.0,0.0545272538771317,0.35128985504990623,0.023463667568977296,-15.021936579680503,5.96453046575288,104.01315683860352,sweep
-15.0,0.005302337318756495,0.35109701595229537,0.02384172467272832,-14.951429352760027,5.96453046575288,104.01315683860352,sweep
-15.0,0.0025801904298425275,0.34909733088056105,0.027932172617545752,-14.251964944281594,5.96453046575288,104.01315683860352,sweep
-15.0,0.019999426538249175,0.3550306517861534,0.016708425937909145,-16.51599272414404,5.96453046575288,104.01315683860352,sweep
-15.0,0.011216514270663527,0.3567795923992385,0.013932028596021197,-17.31319116412196,5.96453046575288,104.01315683860352,sweep
-15.0,0.020456856597352933,0.35124652011716123,0.02354837220065263,-15.006042533573083,5.96453046575288,104.01315683860352,sweep
-15.0,0.10773161238570549,0.3514541292757484,0.023143899808561,-15.082451603781264,5.96453046575288,104.01315683860352,sweep
-15.0,0.012728312211809745,0.35060340101774307,0.02482263937510648,-14.773499165137983,5.96453046575288,104.01315683860352,sweep
-15.0,0.040345199202412536,0.34898956131007614,0.0281613843094604,-14.215810929392168,5.96453046575288,104.01315683860352,sweep
-15.0,0.0697380119082236,0.35219315721761546,0.021731451652263,-15.359999044075895,5.96453046575288,104.01315683860352,sweep
-15.0,0.08177331704199316,0.35743487656764794,0.012955181068239034,-17.631708723174818,5.96453046575288,104.01315683860352,sweep
-15.0,0.005013128313988245,0.3527386561478024,0.0207163700151518,-15.570673612262578,5.96453046575288,104.01315683860352,sweep
-15.0,0.029444928197334172,0.3494883574367358,0.0271080077630875,-14.384413253261897,5.96453046575288,104.01315683860352,sweep
-15.0,0.13538147707241543,0.3544783032833168,0.017636141121316458,-16.27864268500623,5.96453046575288,104.01315683860352,sweep
-15.0,0.0719367178770946,0.34745924293712893,0.031512042634006816,-13.717916123497888,5.96453046575288,104.01315683860352,sweep
-15.0,0.0718319444523088,0.34941888637323626,0.027253572026405028,-14.360735127473196,5.96453046575288,104.01315683860352,sweep
-15.0,0.03160591537190269,0.3501994384366659,0.025639478134234797,-14.630532091256425,5.96453046575288,104.01315683860352,sweep
-15.0,0.00181869265687956,0.35455272728793147,0.017509722165805396,-16.3102496267443,5.96453046575288,104.01315683860352,sweep
-15.0,0.11075554510068024,0.3527800731587042,0.020640256302240215,-15.586878554263599,5.96453046575288,104.01315683860352,sweep
-15.0,0.02207954057378554,0.3538797166703264,0.018668939376049843,-16.028509073391707,5.96453046575288,104.01315683860352,sweep
-15.0,0.023897173112202994,0.3492006632474386,0.027713236169591537,-14.286771212073235,5.96453046575288,104.01315683860352,sweep
-15.0,0.1037811132372713,0.35242810001441155,0.02129139423776647,-15.450113003933483,5.96453046575288,104.01315683860352,sweep
-15.0,0.002700517764877083,0.34400903555050477,0.03971486479428919,-12.68944940558817,5.96453046575288,104.01315683860352,sweep
-15.0,0.09878032983419083,0.3519211857099842,0.022246275799545072,-15.256830135015951,5.96453046575288,104.01315683860352,sweep
-15.0,0.01293395035913414,0.35302159581266523,0.02019909369330511,-15.681981051600706,5.96453046575288,104.01315683860352,sweep
-15.0,0.05414699028512653,0.35121999958140326,0.023600282825307177,-14.996329776122115,5.96453046575288,104.01315683860352,sweep
-15.0,0.09948630003768782,0.35376889305291065,0.01886327543060147,-15.982975013573474,5.96453046575288,104.01315683860352,sweep
-15.0,0.009492777504126623,0.3539051465902847,0.01862448385675046,-16.038991043185888,5.96453046575288,104.01315683860352,sweep
-15.0,0.033504988794344756,0.35391819895731674,0.01860168618237864,-16.04437599603304,5.96453046575288,104.01315683860352,sweep
-15.0,0.013739676503930518,0.35171091469670634,0.022648278167151897,-15.177893187620402,5.96453046575288,104.01315683860352,sweep
-15.0,0.07886328381729481,0.3494229763635376,0.02724499188108334,-14.362127363006,5.96453046575288,104.01315683860352,sweep
-15.0,0.0780029891006454,0.34930488023782247,0.02749325690788635,-14.322016237623918,5.96453046575288,104.01315683860352,sweep
-15.0,0.03974689143318736,0.3538923342749002,0.018646875396131107,-16.033708356120272,5.96453046575288,104.01315683860352,sweep
